Gender,Age,Age25,Race,Offense,Recid,Type,Days
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
F,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,35-44,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
F,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,55 and Older,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
F,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
F,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-Hispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-Hispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,American Indian or Alaska Native-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,American Indian or Alaska Native-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
F,45-54,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-Hispanic,Misdemeanor,No,No Recidivism,NA
M,35-44,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-Hispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-Hispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-Hispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-Hispanic,Misdemeanor,No,No Recidivism,NA
F,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,Under 25,Under 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
F,35-44,Over 25,American Indian or Alaska Native-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Asian or Pacific Islander-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Asian or Pacific Islander-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,55 and Older,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,Black-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-Hispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,25-34,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,35-44,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
M,45-54,Over 25,White-NonHispanic,Felony,No,No Recidivism,NA
F,25-34,Over 25,Black-NonHispanic,Misdemeanor,No,No Recidivism,NA
F,Under 25,Under 25,Black-NonHispanic,Misdemeanor,No,No Recidivism,NA
F,25-34,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
F,35-44,Over 25,White-NonHispanic,Misdemeanor,No,No Recidivism,NA
